ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Download 1 ID","Download 1 name","Download 1 URL","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default"
69,variable,T-SHIRT-SHIP-YOUR-IDEA,"Ship Your Idea",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing, Clothing > T-shirts",,,"http://localhost/interview-test/wp-content/uploads/2023/08/T_4_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_3_back.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_3_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_4_back.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_4_front1.jpg",,,,,HOODIE-SHIP-YOUR-IDEA,,,,0,,,,Color,"Black, Green",0,1,,,,,,
70,variable,HOODIE-SHIP-YOUR-IDEA,"Ship Your Idea",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing, Clothing > Hoodies",,,"http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_7_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_7_back.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_1_back.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_1_front.jpg",,,,,,T-SHIRT-SHIP-YOUR-IDEA,,,0,,,,Color,"Black, Blue",0,1,Black,Size,"L, XL",1,0,L
71,simple,T-SHIRT-NINJA-SILHOUETTE,"Ninja Silhouette",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,"Clothing, Clothing > T-shirts",,,"http://localhost/interview-test/wp-content/uploads/2023/08/T_5_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_5_back.jpg",,,,,HOODIE-NINJA-SILHOUETTE,"T-SHIRT-WOO-NINJA, T-SHIRT-HAPPY-NINJA",,,0,,,,,,,,,,,,,
72,simple,T-SHIRT-HAPPY-NINJA,"Happy Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18,"Clothing, Clothing > T-shirts",,,"http://localhost/interview-test/wp-content/uploads/2023/08/T_7_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_7_back.jpg",,,,,HOODIE-HAPPY-NINJA,"T-SHIRT-WOO-NINJA, T-SHIRT-NINJA-SILHOUETTE",,,0,,,,,,,,,,,,,
73,simple,HOODIE-HAPPY-NINJA,"Happy Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,35,"Clothing, Clothing > Hoodies",,,"http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_4_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_4_back.jpg",,,,,,T-SHIRT-HAPPY-NINJA,,,0,,,,,,,,,,,,,
74,external,HOODIE-NINJA-SILHOUETTE,"Ninja Silhouette",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,0,,,30,"Clothing, Clothing > Hoodies",,,"http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_5_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_5_back.jpg",,,,,,T-SHIRT-NINJA-SILHOUETTE,https://mercantile.wordpress.org/product/wordpress-logo-black-zip-hoodie/,"Buy on WordPress Swag Store",0,,,,,,,,,,,,,
79,grouped,WOO-SINGLES,"Woo Singles",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Music, Music > Singles",,,http://localhost/interview-test/wp-content/uploads/2023/08/cd_6_flat.jpg,,,,"WOO-SINGLE-1, WOO-SINGLE-2","WOO-ALBUM-1, WOO-ALBUM-2",WOO-ALBUM-3,,,0,,,,,,,,,,,,,
82,"simple, virtual",WOO-ALBUM-4,"Woo Album #4",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,"http://localhost/interview-test/wp-content/uploads/2023/08/cd_5_angle.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/cd_5_flat.jpg",,,,,,,,,0,,,,,,,,,,,,,
91,simple,POSTER-WOO-LOGO,"Woo Logo",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,"http://localhost/interview-test/wp-content/uploads/2023/08/poster_5_up.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/Poster_5_flat.jpg",,,,,,"T-SHIRT-WOO-LOGO, HOODIE-WOO-LOGO",,,0,,,,,,,,,,,,,
94,simple,POSTER-WOO-NINJA,"Woo Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,"http://localhost/interview-test/wp-content/uploads/2023/08/poster_4_up.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/Poster_4_flat.jpg",,,,,,"T-SHIRT-WOO-NINJA, HOODIE-WOO-NINJA",,,0,,,,,,,,,,,,,
97,simple,POSTER-PREMIUM-QUALITY,"Premium Quality",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,12,15,Posters,,,"http://localhost/interview-test/wp-content/uploads/2023/08/poster_3_up.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/Poster_3_flat.jpg",,,,,T-SHIRT-PREMIUM-QUALITY,,,,0,,,,,,,,,,,,,
100,simple,POSTER-FLYING-NINJA,"Flying Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,12,15,Posters,,,"http://localhost/interview-test/wp-content/uploads/2023/08/poster_2_up.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/Poster_2_flat.jpg",,,,,,,,,0,,,,,,,,,,,,,
103,simple,POSTER-SHIP-YOUR-IDEA,"Ship Your Idea",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,"http://localhost/interview-test/wp-content/uploads/2023/08/poster_1_up.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/Poster_1_flat.jpg",,,,,"T-SHIRT-SHIP-YOUR-IDEA, HOODIE-SHIP-YOUR-IDEA","T-SHIRT-SHIP-YOUR-IDEA, HOODIE-SHIP-YOUR-IDEA",,,0,,,,,,,,,,,,,
112,simple,HOODIE-PATIENT-NINJA,"Patient Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.\n\n&nbsp;\n\n&nbsp;\n\n[swap_numbers first=""10"" second=""20""]",,,taxable,,1,,,0,0,,,,,1,,,35,"Clothing, Clothing > Hoodies",,,"http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_3_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_3_back.jpg",,,,,,HOODIE-HAPPY-NINJA,,,0,,,,,,,,,,,,,
119,variation,HOODIE-SHIP-YOUR-IDEA-BLUE-XL,"Ship Your Idea - Blue, XL",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,30,35,,,,http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_1_front.jpg,,,HOODIE-SHIP-YOUR-IDEA,,,T-SHIRT-SHIP-YOUR-IDEA,,,0,,,,Color,Blue,,1,,Size,XL,,0,
120,variation,HOODIE-SHIP-YOUR-IDEA-BLACK-L,"Ship Your Idea - Black, L",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,35,,,,http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_7_front.jpg,,,HOODIE-SHIP-YOUR-IDEA,,,T-SHIRT-SHIP-YOUR-IDEA,,,0,,,,Color,Black,,1,,Size,L,,0,
132,variation,T-SHIRT-SHIP-YOUR-IDEA-GREEN,"Ship Your Idea - Green",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,20,,,,http://localhost/interview-test/wp-content/uploads/2023/08/T_3_front.jpg,,,T-SHIRT-SHIP-YOUR-IDEA,,,,,,0,,,,Color,Green,,1,,,,,,
133,variation,T-SHIRT-SHIP-YOUR-IDEA-BLACK,"Ship Your Idea - Black",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,20,,,,http://localhost/interview-test/wp-content/uploads/2023/08/T_4_front1.jpg,,,T-SHIRT-SHIP-YOUR-IDEA,,,,,,0,,,,Color,Black,,1,,,,,,
